DI,TradeValue,RealmType,Enclave,LivingQuarters,ParcelSize,ParcelSizeUnit
0,147000.0,Meadowlands,Brightforge,766.0,9069.0,sqft
1,98000.0,GnomeBurough,Petalbridge,1033.0,4571.0,sqft
2,325624.0,Meadowlands,Silverglen,1662.0,10562.0,sqft
3,178000.0,Meadowlands,Brightforge,1332.0,9206.0,sqft
4,154900.0,Meadowlands,Thornfield,1033.0,7681.0,sqft
5,111000.0,Meadowlands,Shadowmere,729.0,10215.0,sqft
6,137000.0,Meadowlands,Dragonspire,1476.0,11345.0,sqft
7,300000.0,Meadowlands,Mossheart,1925.0,19522.0,sqft
8,300000.0,GnomeBurough,Thornfield,1266.0,3842.0,sqft
9,116500.0,GnomeBurough,Mystvale,1023.0,7518.0,sqft
10,122000.0,Meadowlands,Dragonspire,738.0,9768.0,sqft
11,215000.0,Meadowlands,Thornfield,1144.0,21579.0,sqft
12,250000.0,Meadowlands,Sunspire,1239.0,11664.0,sqft
13,381000.0,Meadowlands,Thornfield,2651.0,14100.0,sqft
14,335000.0,Meadowlands,Thornfield,1463.0,17500.0,sqft
15,226001.0,Meadowlands,Sunspire,,8696.0,sqft
16,395000.0,Meadowlands,Silverglen,1517.0,14226.0,sqft
17,257000.0,Meadowlands,Thornfield,1780.0,15600.0,sqft
18,215000.0,Meadowlands,Crystalhollow,1070.0,10000.0,sqft
19,137000.0,GnomeBurough,Petalbridge,,9639.0,sqft
20,146500.0,Meadowlands,Crystalhollow,1270.0,11836.0,sqft
21,174000.0,Meadowlands,Dreamweaver,1196.0,3684.0,sqft
22,136500.0,Meadowlands,Emberfall,1359.0,10778.0,sqft
23,132000.0,Meadowlands,Dragonspire,1049.0,8400.0,sqft
24,124000.0,Meadowlands,Dragonspire,788.0,7000.0,sqft
25,106500.0,GnomeBurough,Mystvale,731.0,8765.0,sqft
26,150000.0,Meadowlands,Dragonspire,956.0,11988.0,sqft
27,124500.0,Meadowlands,Dragonspire,664.0,8120.0,sqft
28,112000.0,Meadowlands,Stormwatch,,5175.0,sqft
29,279500.0,Meadowlands,Sunspire,1406.0,12782.0,sqft
30,144000.0,Meadowlands,Brightforge,679.0,9180.0,sqft
31,142500.0,Meadowlands,Emberfall,,9000.0,sqft
