DI,TradeValue,RealmType,Enclave,LivingQuarters,ParcelSize,ParcelSizeUnit
0,147000.0,Meadowlands,brightforge,766.0,9069.0,sqft
1,98000.0,GnomeBurough,petalbridge,1033.0,4571.0,sqft
2,325624.0,Meadowlands,silverglen,1662.0,10562.0,sqft
3,178000.0,Meadowlands,brightforge,1332.0,9206.0,sqft
4,154900.0,Meadowlands,thornfield,1033.0,7681.0,sqft
5,111000.0,Meadowlands,shadowmere,729.0,10215.0,sqft
6,137000.0,Meadowlands,dragonspire,1476.0,11345.0,sqft
7,300000.0,Meadowlands,mossheart,1925.0,19522.0,sqft
8,300000.0,GnomeBurough,thornfield,1266.0,3842.0,sqft
9,116500.0,GnomeBurough,mystvale,1023.0,7518.0,sqft
10,122000.0,Meadowlands,dragonspire,738.0,9768.0,sqft
11,215000.0,Meadowlands,thornfield,1144.0,21579.0,sqft
12,250000.0,Meadowlands,sunspire,1239.0,11664.0,sqft
13,381000.0,Meadowlands,thornfield,2651.0,14100.0,sqft
14,335000.0,Meadowlands,thornfield,1463.0,17500.0,sqft
16,395000.0,Meadowlands,silverglen,1517.0,14226.0,sqft
17,257000.0,Meadowlands,thornfield,1780.0,15600.0,sqft
18,215000.0,Meadowlands,crystalhollow,1070.0,10000.0,sqft
20,146500.0,Meadowlands,crystalhollow,1270.0,11836.0,sqft
21,174000.0,Meadowlands,dreamweaver,1196.0,3684.0,sqft
22,136500.0,Meadowlands,emberfall,1359.0,10778.0,sqft
23,132000.0,Meadowlands,dragonspire,1049.0,8400.0,sqft
24,124000.0,Meadowlands,dragonspire,788.0,7000.0,sqft
25,106500.0,GnomeBurough,mystvale,731.0,8765.0,sqft
26,150000.0,Meadowlands,dragonspire,956.0,11988.0,sqft
27,124500.0,Meadowlands,dragonspire,664.0,8120.0,sqft
29,279500.0,Meadowlands,sunspire,1406.0,12782.0,sqft
30,144000.0,Meadowlands,brightforge,679.0,9180.0,sqft
32,173000.0,Meadowlands,crystalhollow,1255.0,10457.0,sqft
33,212700.0,AetherIsles,wyverncliff,1055.0,8640.0,sqft
34,159000.0,Meadowlands,crystalhollow,1870.0,7700.0,sqft
35,191000.0,Meadowlands,dreamweaver,1156.0,3182.0,sqft
