DI,StructuralIntegrity,ExteriorCharm
0,6,Common
1,5,Common
2,5,Gleaming
3,5,Gleaming
4,6,Common
5,5,Common
6,5,Common
7,5,Gleaming
8,5,Gleaming
9,8,Modest
10,5,Common
11,6,Common
12,5,Gleaming
13,9,Common
14,8,Gleaming
15,5,Common
16,5,Gleaming
17,7,Common
18,5,Gleaming
19,8,Common
20,5,Common
21,5,Gleaming
22,5,Common
23,5,Common
24,5,Common
25,6,Common
26,6,Common
27,7,Common
28,8,Common
29,5,Gleaming
30,7,Common
31,6,Common
32,7,Gleaming
33,5,Gleaming
34,2,Common
35,5,Gleaming
36,5,Common
37,5,Common
38,6,Common
39,5,Common
40,5,Common
41,5,Gleaming
42,6,Common
43,5,Common
44,9,Enchanting
45,5,Common
46,6,Common
47,7,Common
48,5,Gleaming
49,5,Common
50,5,Common
51,5,Modest
52,6,Common
53,7,Common
54,5,Gleaming
55,5,Common
56,5,Enchanting
57,5,Gleaming
58,5,Common
59,5,Gleaming
60,6,Common
61,4,Modest
62,5,Gleaming
63,5,Common
64,7,Common
65,5,Common
66,5,Common
67,5,Common
68,7,Common
69,7,Gleaming
70,5,Common
71,5,Gleaming
72,6,Modest
73,6,Common
74,6,Common
75,7,Common
76,5,Common
77,6,Common
78,5,Gleaming
79,6,Common
80,5,Common
81,5,Gleaming
82,8,Common
83,5,Common
84,6,Common
85,2,Common
86,5,Common
87,5,Common
88,5,Common
89,5,Common
90,5,Gleaming
91,7,Gleaming
92,8,Common
93,5,Common
94,5,Gleaming
95,3,Common
96,5,Gleaming
97,7,Common
98,5,Gleaming
99,5,Enchanting
100,5,Gleaming
101,6,Common
102,6,Enchanting
103,8,Common
104,5,Gleaming
105,5,Common
106,6,Common
107,6,Common
108,5,Gleaming
109,4,Common
110,5,Common
111,5,Common
112,6,Common
113,3,Common
114,5,Gleaming
115,5,Enchanting
116,8,Common
117,5,Common
118,7,Common
119,5,Common
120,5,Gleaming
121,6,Common
122,6,Common
123,6,Common
124,5,Common
125,5,Gleaming
126,5,Common
127,5,Gleaming
128,8,Common
129,5,Common
130,5,Gleaming
131,5,Gleaming
132,5,Gleaming
133,7,Common
134,6,Common
135,7,Common
136,5,Gleaming
137,6,Common
138,5,Common
139,6,Common
140,5,Gleaming
141,5,Common
141,5,Common
142,5,Enchanting
143,5,Gleaming
144,5,Gleaming
145,5,Gleaming
146,5,Gleaming
147,6,Common
148,7,Gleaming
149,5,Gleaming
150,5,Enchanting
151,5,Common
152,6,Common
153,5,Gleaming
154,5,Gleaming
155,7,Common
155,7,Common
156,7,Common
156,7,Common
157,5,Enchanting
158,7,Common
159,8,Gleaming
160,5,Gleaming
161,3,Common
162,6,Common
163,7,Gleaming
164,7,Common
165,5,Gleaming
166,5,Gleaming
167,5,Common
168,6,Common
169,7,Common
170,6,Common
171,5,Common
172,5,Enchanting
173,5,Gleaming
174,5,Common
175,5,Gleaming
176,5,Common
177,7,Common
178,7,Common
179,7,Common
180,5,Common
181,4,Common
182,6,Common
183,5,Gleaming
184,5,Common
185,6,Common
186,7,Common
187,3,Common
188,5,Gleaming
189,7,Common
190,5,Common
191,7,Common
192,6,Gleaming
193,4,Common
194,4,Common
195,6,Common
196,6,Common
197,5,Gleaming
198,5,Gleaming
199,5,Gleaming
200,3,Common
201,7,Gleaming
202,5,Gleaming
203,6,Common
204,5,Common
205,6,Gleaming
206,7,Common
207,5,Enchanting
208,5,Gleaming
209,5,Gleaming
210,5,Common
211,8,Gleaming
212,5,Common
213,7,Common
214,5,Gleaming
215,5,Gleaming
216,5,Gleaming
217,5,Gleaming
218,5,Gleaming
219,6,Common
220,6,Gleaming
221,5,Gleaming
222,5,Gleaming
223,5,Gleaming
224,5,Gleaming
225,6,Gleaming
226,5,Enchanting
227,9,Gleaming
228,7,Common
229,7,Common
230,5,Common
231,7,Common
232,5,Common
233,9,Gleaming
234,5,Gleaming
235,6,Gleaming
236,6,Common
237,4,Gleaming
238,5,Common
239,5,Common
240,4,Common
241,5,Gleaming
242,6,Gleaming
243,8,Common
244,5,Enchanting
245,8,Common
246,5,Gleaming
247,8,Common
248,5,Gleaming
249,5,Gleaming
250,5,Gleaming
251,6,Common
252,5,Gleaming
253,9,Common
254,5,Common
255,7,Common
256,5,Common
257,5,Gleaming
258,7,Common
259,6,Common
260,5,Common
261,4,Common
262,6,Common
263,6,Common
264,5,Gleaming
265,7,Common
266,4,Common
267,7,Common
268,4,Modest
269,5,Gleaming
270,5,Gleaming
271,5,Gleaming
272,5,Enchanting
273,5,Gleaming
274,5,Gleaming
275,7,Common
276,5,Gleaming
277,5,Common
